n,last_name,year,vial_num,vial_n,landcover,landcover_details,substrate,substrate_type,site_code,sample_id,site_id,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,burn_hx,burn_year
33,Moubarak,2019,MM98,NA,NA,NA,soil,NA,M5,M5C3,M5,61.2654,-163.24991,0.8096,0.44,0.7939,0.038,16,2.68,b,2015
36,Moubarak,2019,MM76,NA,NA,NA,soil,NA,M6,M6C3,M6,61.26541,-163.25676,0.9238,0.447,0.8183,0.0376,15,2.52,b,2015
35,Moubarak,2019,MM79,NA,NA,NA,soil,NA,M6,M6C2,M6,61.26541,-163.25676,0.7797,0.362,0.7496,0.1498,21.5,11.66,b,2015
37,Moubarak,2019,MM101,NA,NA,NA,soil,NA,M6,M6C1,M6,61.26541,-163.25676,0.98,0.403,0.9039,0.0192,13,1.01,b,2015
238,Jardine,2017,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,Melton,2017,10,,peat plateau,lichen,soil,NA,NH,NH A0 (U1 core 3),NH,61.25817,-163.24725,0.9129,0.461,7.82,0.0579,32,8.55,u,NA
186,Melton,2017,11,,peat plateau,lichen,soil,NA,NH,NH B0 (U1 core 2),NH,61.25824,-163.24733,0.8369,0.468,4.03,0.1087,27,13.72,u,NA
187,Melton,2017,12,,peat plateau,lichen,soil,NA,NH,NH C0 (U1 core 1),NH,61.25838,-163.24745,0.8749,0.451,3.16,0.0945,33,14.05,u,NA
196,Melton,2017,21,,peat plateau,lichen,soil,NA,P1,P1 A20,P1,61.23466,-163.25591,0.8062,0.392,3.62,0.1341,33,17.35,u,NA
197,Melton,2017,22,,peat plateau,lichen,soil,NA,P1,P1 B20,P1,61.23466,-163.25575,0.2551,0.113,1.36,0.4197,31,14.65,u,NA
198,Melton,2017,23,,peat plateau,lichen,soil,NA,P1,P1 C20,P1,61.23465,-163.25557,0.8254,0.417,6.47,0.0912,31,11.78,u,NA
199,Melton,2017,24,,peat plateau,river adjacent,soil,NA,RP1,RP1 A20,RP1,61.23893,-163.25862,0.7603,0.438,3.15,0.1932,26,22.01,u,NA
200,Melton,2017,25,,peat plateau,river adjacent,soil,NA,RP1,RP1 B20,RP1,61.23888,-163.25842,0.8268,0.403,5.81,0.0578,24,5.59,u,NA
201,Melton,2017,26,,peat plateau,river adjacent,soil,NA,RP1,RP1 C20,RP1,61.23884,-163.25829,0.8187,0.439,5.58,0.1222,31,16.64,u,NA
39,Moubarak,2019,MM28,NA,NA,NA,soil,NA,T1,T1C3,T1,61.26436,-163.2489,0.888,0.341,0.8253,0.0498,16,2.72,b,2015
38,Moubarak,2019,MM47,NA,NA,NA,soil,NA,T1,T1C1,T1,61.26436,-163.2489,0.9287,0.354,0.7886,0.0393,20,2.78,b,2015
40,Moubarak,2019,MM70,NA,NA,NA,soil,NA,T1,T1C2,T1,61.26436,-163.2489,0.8979,0.393,0.8773,0.0318,28,3.5,b,2015
42,Moubarak,2019,MM36,NA,NA,NA,soil,NA,T2,T2C2,T2,61.26517,-163.2487,0.9327,0.336,0.796,0.0231,14,1.09,b,2015
43,Moubarak,2019,MM48,NA,NA,NA,soil,NA,T2,T2C1,T2,61.26517,-163.2487,0.929,0.429,0.8285,0.0336,19,2.74,b,2015
41,Moubarak,2019,MM55,NA,NA,NA,soil,NA,T2,T2C3,T2,61.26517,-163.2487,0.9329,0.441,0.7742,NA,18,NA,b,2015
44,Moubarak,2019,MM22,NA,NA,NA,soil,NA,T3,T3C1,T3,61.26504,-163.24866,0.8212,0.395,0.8247,0.0411,14,2.27,b,2015
45,Moubarak,2019,MM92,NA,NA,NA,soil,NA,T3,T3C3,T3,61.26504,-163.24866,0.9034,0.425,0.891,0.0551,29,6.79,b,2015
47,Moubarak,2019,MM72,NA,NA,NA,soil,NA,T4,T4C1,T4,61.26507,-163.2487,0.9585,0.45,0.8123,0.0292,20,2.63,b,2015
46,Moubarak,2019,MM75,NA,NA,NA,soil,NA,T4,T4C3,T4,61.26507,-163.2487,0.8667,0.436,0.8014,0.057,15,3.73,b,2015
48,Moubarak,2019,MM102,NA,NA,NA,soil,NA,T4,T4C2,T4,61.26507,-163.2487,0.8852,0.427,0.8165,0.0701,9,2.69,b,2015
49,Moubarak,2019,MM100,NA,NA,NA,soil,NA,T5,T5C1,T5,61.26698,-163.25121,0.8149,0.423,0.7822,0.0203,20,1.72,b,2015
51,Moubarak,2019,MM103,NA,NA,NA,soil,NA,T5,T5C3,T5,61.26698,-163.25121,0.8924,0.435,0.8699,0.0453,16,3.15,b,2015
50,Moubarak,2019,MM104,NA,NA,NA,soil,NA,T5,T5C2,T5,61.26698,-163.25121,0.8963,0.429,0.794,0.017,19,1.38,b,2015
224,Jardine,2017,48,NA,peat plateau,NA,soil,NA,U1,"U1 T1,0",U1,61.25849,-163.24748,0.8535,0.348,4.58,0.0825,31,8.91,u,NA
225,Jardine,2017,49,NA,peat plateau,NA,soil,NA,U1,"U1 T2,0",U1,61.25822,-163.24734,0.8114,0.361,3.14,0.1714,23,14.25,u,NA
226,Jardine,2017,50,NA,peat plateau,NA,soil,NA,U1,"U1 T3,0",U1,61.25816,-163.24728,0.7843,0.364,4.32,0.0921,33,11.05,u,NA
255,Navarro,2017,80,NA,peat plateau,moss patch,soil,NA,U1,UNB13-M,UNB13,61.26025,-163.24294,0.9937,0.485,8.28,0.0406,18,3.55,u,NA
256,Navarro,2017,81,NA,peat plateau,lichen patch,soil,NA,U1,UNB12-S,UNB12,61.26064,-163.24373,NA,0.504,4.59,0.0312,17,2.67,u,NA
257,Navarro,2017,82,NA,peat plateau,moss patch,soil,NA,U1,UNB12-M,UNB12,61.26064,-163.24373,NA,NA,NA,NA,25,NA,u,NA
258,Navarro,2017,83,NA,peat plateau,lichen patch,soil,NA,U1,UNB13-S,UNB13,61.26025,-163.24294,0.9469,0.5,3.79,0.0402,17,3.41,u,NA
259,Navarro,2017,84,NA,peat plateau,moss patch,soil,NA,U1,UNB11-M,UNB11,61.26092,-163.24391,0.9638,0.477,10.01,0.0307,17,2.49,u,NA
260,Navarro,2017,85,NA,peat plateau,lichen patch,soil,NA,U1,UNB11-S,UNB11,61.26092,-163.24391,NA,NA,NA,NA,18,NA,u,NA
227,Jardine,2017,51,NA,peat plateau,NA,soil,NA,U2,"U2 T1,0",U2,61.32074,-163.2437,0.8119,0.35,3.43,0.0587,29,5.96,u,NA
228,Jardine,2017,52,NA,peat plateau,NA,soil,NA,U2,"U2 T2,0",U2,61.32077,-163.24348,0.7091,0.311,2.49,0.0872,29,7.88,u,NA
229,Jardine,2017,53,NA,peat plateau,NA,soil,NA,U2,"U2 T3,0",U2,61.32076,-163.24309,0.7004,0.292,3.07,0.0608,23,4.07,u,NA
261,Navarro,2017,86,NA,peat plateau,moss patch,soil,NA,U2,UNB23-M,UNB23,61.32078,-163.24251,NA,0.485,11.45,0.0215,24,2.5,u,NA
262,Navarro,2017,87,NA,peat plateau,lichen patch,soil,NA,U2,UNB23-S,UNB23,61.32078,-163.24251,0.9618,0.479,5.93,0.0533,22,5.62,u,NA
263,Navarro,2017,88,NA,peat plateau,moss patch,soil,NA,U2,UNB22-M,UNB22,61.32072,-163.24243,0.9509,0.476,5.79,0.0346,17,2.8,u,NA
264,Navarro,2017,89,NA,peat plateau,moss patch,soil,NA,U2,UNB21-M,UNB21,61.32075,-163.24237,0.9781,0.492,9.14,0.0322,10,1.58,u,NA
265,Navarro,2017,90,NA,peat plateau,lichen patch,soil,NA,U2,UNB21-S,UNB21,61.32075,-163.24237,0.5708,0.283,2.62,0.0967,20,5.47,u,NA
284,Navarro,2017,ENP UNB22S,NA,peat plateau,lichen patch,soil,NA,U2,UNB22-S,UNB22,61.32072,-163.24243,0.9562,0.474,9.29,0.031,15,2.2,u,NA
230,Jardine,2017,54,NA,peat plateau,NA,soil,NA,U3,"U3 T1,0",U3,61.27041,-163.2373,0.8875,0.374,5.19,0.1342,28,14.05,u,NA
231,Jardine,2017,55,NA,peat plateau,NA,soil,NA,U3,"U3 T2,0",U3,61.27054,-163.2373,0.8787,0.346,4.44,0.1378,18,8.57,u,NA
232,Jardine,2017,56,NA,peat plateau,NA,soil,NA,U3,"U3 T3,0",U3,61.27067,-163.23729,0.8951,0.344,4.46,0.1066,23,8.44,u,NA
272,Navarro,2017,97,NA,peat plateau,moss patch,soil,NA,U3,UNB31-M,UNB31,61.27039,-163.23715,0.9782,0.455,10.58,0.0489,15,3.34,u,NA
273,Navarro,2017,98,NA,peat plateau,lichen patch,soil,NA,U3,UNB31-S,UNB31,61.27039,-163.23715,0.939,0.467,6.44,0.0455,13,2.77,u,NA
274,Navarro,2017,99,NA,peat plateau,moss patch,soil,NA,U3,UNB32-M,UNB32,61.27039,-163.23708,0.9762,0.455,13.13,0.0313,16,2.28,u,NA
275,Navarro,2017,100,NA,peat plateau,lichen patch,soil,NA,U3,UNB32-S,UNB32,61.27039,-163.23708,0.8108,0.444,4.23,0.0756,14,4.7,u,NA
276,Navarro,2017,101,NA,peat plateau,moss patch,soil,NA,U3,UNB33-M,UNB33,61.27036,-163.23706,0.9619,0.487,12.24,0.0337,18,2.96,u,NA
